L0,L1,L2,Graph
0.07261562,0.8580389,-0.780757,3
0.89138234,0.4392159,-0.45724443,3
0.7017615,0.61599886,0.2626656,5
-0.0760026,-0.38034856,-0.2390642,6
0.803185,-0.08181465,-0.21964729,6
0.49389043,-0.6733012,0.0015430301,6
1.0,-0.29166386,0.28472793,6
0.5128526,-0.8399663,-0.37617955,6
0.27810144,0.079680726,-0.44578093,6
0.18241593,0.09635937,0.4665394,6
-0.9266076,0.106386915,0.6352005,8
-0.07007778,0.71817505,1.0,8
0.40980554,-0.20212442,-0.7271242,8
-0.0013425648,0.69564354,1.0,10
-1.0,-0.36108065,0.5958401,12
0.29368508,-0.6164403,0.71452016,19
0.11135486,-0.724803,-0.46448797,23
-0.02725485,0.24086094,0.9708341,26
0.43097192,0.3867243,0.6716374,26
0.3843621,1.0,0.56946653,26
-0.34050906,-0.6401261,-0.46542215,26
-0.06651844,0.8394887,0.17407532,33
-0.34979033,0.89927655,-0.8852747,33
-0.83701634,-1.0,-0.7197671,37
-0.7123755,0.13860905,0.046659112,
-0.0019931793,-0.51359224,0.99158,
-0.040180884,-0.6303268,0.18600082,
0.5505552,-0.3417753,-0.48496258,
-0.8022001,0.8574687,0.23893589,
0.5428252,-0.77088475,-0.6447274,
1.0,0.23560213,-0.29194105,
0.002977088,-0.62475467,1.0,
0.58205855,-0.02789712,0.25757858,
0.46560192,0.10728297,0.70521307,
-0.6350794,-1.0,-0.17760079,
-0.55937016,-0.5159577,-0.18377541,
0.21952558,-0.10481298,1.0,
-0.003952384,0.026170462,-0.28142065,
0.11125291,-1.0,-0.9652494,
-0.0062814355,-1.0,0.8658159,
-0.4065554,0.02405119,0.83697176,
-0.16024859,-0.7709191,0.8375824,
0.91950345,-0.35937965,0.6884101,
1.0,-0.58740765,0.559514,
0.44719696,-0.8891041,1.0,
-0.9094058,-0.011618756,0.6337508,
-0.195243,0.85171145,0.7715857,
-0.95912796,0.112746835,-0.32321787,
0.3907388,-0.3737924,0.7130822,
-0.12880425,-0.45628273,0.21223468,
0.04368505,-0.5416449,0.84809506,
-0.42042828,0.9926326,0.18232773,
0.48114347,-0.54920876,0.9537851,
0.06336363,0.15638724,0.57271826,
0.5490168,0.09302083,0.04740441,
-1.0,0.32074675,-0.4683178,
-0.16102937,0.14398144,0.095243454,
0.015964493,0.23688166,-0.7346504,
-0.41176748,0.069774,0.9913549,
-0.3828869,0.60201144,0.051777273,
-0.0337739,0.022176504,1.0,
-0.6059091,-0.8773272,0.47384506,
-0.07089966,0.27422893,0.65662557,
0.35509405,0.5162412,0.11447321,
-0.25214714,0.6936586,0.82319045,
0.035950024,0.35256052,0.46151733,
-0.06395766,-0.9297998,0.023261286,
-0.9300426,0.6334265,-0.5138656,
0.28945637,-1.0,,
0.8498692,0.66076136,,
-0.032557905,0.7960963,,
-0.21722221,0.8845713,,
-0.3387251,0.17654243,,
0.6063217,0.19082105,,
0.6339302,-0.1504687,,
-1.0,-0.70460343,,
0.84758,-0.48175713,,
1.0,-0.5064808,,
0.35466468,-0.5980604,,
-0.18458438,-0.041960813,,
-0.58185637,0.12320411,,
-0.8715795,0.40912998,,
-0.8782401,0.7413473,,
-0.8564658,-0.1593224,,
0.6682247,-0.14218065,,
0.5782941,0.91627103,,
0.96725535,0.62436306,,
-0.9427364,-0.121747866,,
-0.09639403,0.24925792,,
-0.026441097,-0.7811465,,
-0.1113265,0.39940906,,
0.036293738,-0.5035597,,
0.52475643,-0.062416688,,
-0.7857036,0.50087655,,
0.12088426,-0.018533826,,
-0.78037584,-0.8888725,,
-0.7274772,-0.2951499,,
0.09155689,-0.46592084,,
0.4882444,-0.62778425,,
-0.030163765,0.65722114,,
-0.72137547,-0.64759517,,
-0.40286505,0.24250755,,
-0.45686364,0.6203486,,
-0.6366564,0.258673,,
1.0,-0.24309155,,
-0.15149555,-0.8025707,,
-0.64652026,-0.36428,,
1.0,0.5994073,,
-0.53725034,-0.23054461,,
-0.99344087,0.3125586,,
-0.34262383,0.16099763,,
-0.07383711,-0.06671998,,
0.7365718,-0.32143617,,
-0.72608054,0.31114623,,
0.0012833516,0.11089373,,
-0.86129856,-0.028611422,,
-0.023947358,-0.6298348,,
0.90017545,-0.7975167,,
0.17475839,-0.0044366866,,
0.7149819,-0.12791514,,
0.68256676,1.0,,
0.24979883,-0.82909054,,
0.64340436,-0.9530612,,
0.5800068,0.34796408,,
-0.21013355,0.26427492,,
-0.06934154,0.15257308,,
0.040548835,-0.20883769,,
-0.9691349,0.2644293,,
0.08265896,-0.34059647,,
0.09140865,-0.2986508,,
0.7526914,-0.7557499,,
-0.49112344,-0.11370766,,
-0.9204256,0.48892212,,
-0.3420514,-0.122309536,,
-0.17682683,-1.0,,
-0.709694,0.23563111,,
-0.9605407,0.6265344,,
-0.10093817,-0.62925494,,
-0.8895533,-0.71557254,,
-0.9584876,-0.38748232,,
0.5983292,0.59719634,,
-0.6996771,-0.08816469,,
-0.018082023,-0.85451424,,
0.26856288,-0.845543,,
-0.7031492,1.0,,
-0.5119548,-0.8537357,,
-1.0,0.50653255,,
0.2445643,0.14356035,,
-0.779757,0.9452214,,
0.1264351,-0.6633564,,
0.11161587,0.3153351,,
0.91797316,-0.7784091,,
0.32630032,-0.2712201,,
0.55379534,0.6480191,,
-1.0,-0.77853376,,
-0.94219065,0.76412785,,
-1.0,-0.055716485,,
-0.32267958,0.39442304,,
-0.8261584,-1.0,,
-0.096179426,-0.623784,,
0.39377788,-0.31704432,,
-0.9113047,-0.44204593,,
-0.58411276,-0.29614925,,
0.3709678,0.25305176,,
-0.50774264,-0.64380646,,
-0.33616623,0.30817035,,
0.23203766,-0.88028634,,
-0.04713738,0.7205286,,
-0.10347985,1.0,,
0.35438523,1.0,,
0.40240577,-0.8827584,,
0.5425403,-0.2896203,,
-0.1303452,0.09803349,,
1.0,-0.58214194,,
0.7285021,0.7219205,,
0.92903256,0.3760658,,
-0.28883886,-0.95122874,,
-0.7325931,0.16519928,,
-1.0,0.42464793,,
0.21678054,0.3546276,,
-0.9916673,0.53381056,,
-0.11647177,0.28436524,,
0.8741583,-1.0,,
-0.26814997,-0.67280924,,
0.90929765,-0.4669545,,
0.106491536,-0.3465583,,
0.5047021,0.29495877,,
0.44370237,-0.64023924,,
-0.4189325,-0.8699089,,
-0.68853354,-0.2623067,,
0.57328475,0.72098064,,
-0.117527306,0.5733781,,
1.0,-0.18505955,,
-0.4866953,-0.68640846,,
0.68048835,-0.8833059,,
0.7248517,0.34414956,,
0.61132455,0.73311716,,
-0.34643543,-0.0326595,,
-0.061345458,-0.87852466,,
0.7593477,0.52037823,,
0.95599365,0.06986749,,
0.07686427,-0.693725,,
-0.23385727,0.6509023,,
-0.5155875,-0.64575756,,
0.6714878,0.26059064,,
-0.78695226,-0.013571471,,
0.9808926,0.1979233,,
-0.05045712,-0.66321623,,
-0.12515348,0.56991684,,
-0.9760295,-0.29788637,,
0.9170665,-0.41485098,,
-0.27825183,0.61932623,,
-0.29376972,0.4832986,,
-0.018702745,0.1696037,,
-0.07094526,-0.18140209,,
0.56070787,0.0043735206,,
1.0,-0.36850584,,
0.27111626,-0.6661849,,
0.5448077,-0.55575216,,
0.2813906,-0.8348186,,
-0.9403666,-0.047796585,,
0.034844093,0.4719349,,
0.88938034,-1.0,,
-0.24662003,0.52945006,,
0.49211487,0.6158343,,
0.42628145,0.27521357,,
-0.590485,0.5209809,,
-0.32188523,0.68461347,,
1.0,0.45110148,,
-0.901016,-0.6201763,,
0.33249706,-0.9667911,,
-0.24847507,-0.060266085,,
0.4123839,-0.90281236,,
0.9374553,-0.93328655,,
-1.0,-0.34195924,,
0.43133092,-0.84444076,,
0.66085243,0.89911383,,
0.073854804,0.57053685,,
0.29303718,1.0,,
-0.6232128,-0.23903227,,
-0.3457603,-0.6209345,,
-0.783036,-0.5174058,,
-0.42945236,-0.93113744,,
-0.9807157,0.84879225,,
-0.63679564,1.0,,
0.6507966,0.35204557,,
0.20740473,-1.0,,
0.4462391,1.0,,
-0.7660465,-0.36883372,,
-0.0692589,0.5147987,,
-0.61080885,-0.15480709,,
-0.15466677,-0.13535754,,
-0.08623719,-0.9930674,,
0.7992964,-0.20824564,,
-0.38747084,0.2350423,,
0.5779272,0.24369426,,
-0.20114052,-0.19787431,,
0.31751302,0.33684897,,
-0.6761201,1.0,,
0.9430586,-0.24204278,,
-0.13540804,0.67889136,,
-0.92439103,0.22320075,,
-0.8596215,-0.19425821,,
0.98119205,-0.43004176,,
0.5983474,0.1755116,,
0.22458114,0.50062084,,
-0.51131445,-0.84109557,,
-0.5346382,0.01042451,,
-0.5045118,-0.70647395,,
0.7550397,0.03778872,,
-0.1492604,-0.090462126,,
0.4281393,1.0,,
0.0055618826,,,
-0.23977709,,,
0.50186175,,,
-0.60095465,,,
-0.61038977,,,
-0.69486606,,,
0.06276238,,,
0.04503405,,,
0.041273028,,,
0.70119226,,,
0.7647384,,,
0.29012668,,,
-0.192749,,,
-0.10970557,,,
0.8536977,,,
-0.7216332,,,
-1.0,,,
0.8212663,,,
-0.49682993,,,
0.88845164,,,
0.8002288,,,
0.5124335,,,
0.07411134,,,
0.8907839,,,
0.6756139,,,
0.53927696,,,
0.4569145,,,
-0.5617304,,,
-0.7281886,,,
-0.33052373,,,
-0.31597054,,,
0.5162682,,,
0.58436507,,,
-0.048584018,,,
0.8584564,,,
-0.7117697,,,
0.42681885,,,
-0.6583518,,,
0.54410315,,,
-0.65402305,,,
0.38964945,,,
-0.33820754,,,
-0.73040426,,,
-0.5258603,,,
-0.53723085,,,
0.07850146,,,
-0.82251036,,,
-0.89987606,,,
-0.806323,,,
0.52802587,,,
-0.72245705,,,
0.5147415,,,
0.8276916,,,
-0.5428542,,,
-0.58216655,,,
0.9724469,,,
0.872447,,,
0.91767275,,,
0.40574127,,,
0.8962771,,,
0.058464326,,,
-0.6371736,,,
-0.13658363,,,
0.93079543,,,
-0.53084624,,,
0.8220262,,,
-0.44513568,,,
-0.13580969,,,
-0.50794023,,,
0.27625334,,,
0.22121054,,,
-0.0946388,,,
-0.8138267,,,
0.67873996,,,
0.765866,,,
-0.8648523,,,
0.20851564,,,
0.74435294,,,
0.42402005,,,
0.37504476,,,
0.91596663,,,
0.42303398,,,
0.088394284,,,
-0.34703428,,,
-0.5265025,,,
-0.7719826,,,
0.33517674,,,
-0.40952796,,,
-1.0,,,
-0.6565127,,,
0.002516985,,,
-0.16624793,,,
0.07897029,,,
-0.21809341,,,
-0.15117876,,,
-0.03498137,,,
-0.78084916,,,
0.4958303,,,
-0.5932344,,,
-0.7037232,,,
0.45166278,,,
0.9418409,,,
-0.37834853,,,
-0.6733463,,,
0.6033343,,,
0.31635225,,,
0.5184308,,,
0.4599868,,,
0.04435374,,,
-0.8391968,,,
0.8565299,,,
0.89286435,,,
0.87905896,,,
0.6070192,,,
0.3109225,,,
-0.75020534,,,
-0.3166504,,,
-0.144562,,,
-0.678063,,,
0.8782904,,,
1.0,,,
0.9998065,,,
-0.45181632,,,
-0.025452793,,,
0.79869646,,,
0.054496378,,,
0.5829051,,,
-0.56604505,,,
