L0,L1,L2,Graph
0.07261562,0.8580389,-0.780757,3
0.9178512,0.4392159,-0.45724443,3
0.7017615,0.43813157,0.19597015,5
-0.0760026,-0.6286365,-0.15518767,6
0.803185,-0.29867637,-0.21964729,6
0.4268365,-0.6733012,-0.5053798,6
1.0,-0.5222844,0.28472793,6
0.6068783,-0.97587776,-0.3054917,6
0.48158944,0.31202897,-0.44578093,6
0.18241593,0.044364735,0.4665394,6
-0.82265025,-0.042874217,0.6352005,8
-0.07007778,0.1799668,0.6395255,8
0.3609374,-0.20212442,-0.6759558,8
-0.36588717,0.8864711,1.0,10
-0.809077,-0.36108065,0.61414814,12
0.29368508,-0.6164403,0.9044744,19
0.19648519,-0.6745739,-0.6934857,23
-0.3667698,0.116229296,0.6603657,26
0.43097192,0.3867243,0.7124082,26
0.407673,0.94778347,0.012580864,26
-0.34050906,-0.51777345,-1.0,26
-0.5048381,0.5679999,0.46988598,33
-0.34979033,0.69795156,-0.8852747,33
-0.70622337,-1.0,-0.8126148,37
-0.7123755,0.13860905,0.046659112,40
-0.0019931793,-0.5042323,0.9613292,47
-0.24152744,-0.87294424,0.19846973,54
0.5469667,-1.0,-0.228134,76
-0.9697003,0.75725824,0.67522764,76
0.5428252,-0.52214277,-0.82971525,
1.0,-0.23082675,-0.29194105,
-0.20099874,-0.62475467,0.97798073,
0.58205855,-0.02789712,0.25757858,
0.56281763,0.10728297,0.7454017,
-0.47001553,-1.0,-0.23340377,
-0.25977343,-0.5159577,-0.367783,
0.21952558,-0.10481298,0.67900467,
-0.003952384,-0.5814806,-0.44566795,
0.2554777,-1.0,-0.7262448,
-0.07001586,-0.41628087,0.67324585,
-0.4065554,5.1270984E-4,0.83697176,
-0.47182894,-1.0,1.0,
0.5049784,-0.35937965,0.7301713,
1.0,-0.49116617,0.55674005,
0.44719696,-0.6578959,0.57272065,
-0.98068786,0.110436186,0.5751816,
0.010957837,0.7829921,0.74193764,
-0.95912796,0.112746835,-0.3041152,
0.3907388,-0.3737924,0.7130822,
0.07527161,-0.6037688,0.13155295,
0.04368505,-0.7307762,0.84809506,
-0.52801716,0.9926326,0.05205846,
0.60064286,-0.54920876,0.9537851,
0.09612471,0.15638724,0.6996442,
0.5490168,0.09302083,0.04740441,
-0.8204933,0.32074675,-0.3610004,
-0.16102937,0.14398144,0.095243454,
-0.098305695,0.23688166,-0.7346504,
-0.48815423,0.10805079,1.0,
-0.3828869,0.60201144,0.051777273,
0.5189972,-0.19311151,1.0,
-0.5246047,-0.8773272,0.47384506,
-0.07089966,0.27422893,0.65662557,
0.35509405,0.5162412,0.11447321,
-0.32137153,0.6936586,0.82319045,
0.035950024,0.35256052,0.46151733,
0.2048764,-0.9297998,0.023261286,
-1.0,0.6334265,-0.5138656,
0.28945637,-1.0,,
0.8994168,0.66076136,,
-0.032557905,0.7960963,,
-0.5961364,0.81302285,,
-0.3387251,0.17654243,,
0.65873694,0.19082105,,
0.6339302,-0.1504687,,
-1.0,-0.70460343,,
0.77053225,-0.30422723,,
1.0,-0.5064808,,
0.35466468,-0.5980604,,
-0.18458438,-0.13792573,,
-0.5229765,0.12320411,,
-0.71233404,0.40912998,,
-0.7573231,0.7413473,,
-0.8564658,-0.14531797,,
0.636767,-0.00531511,,
0.43817326,0.8806166,,
0.9501936,0.6722628,,
-0.7988769,-0.120356254,,
-0.6328786,0.052406043,,
-0.26810086,-0.7811465,,
-0.1113265,0.39940906,,
0.012555957,-0.5035597,,
0.5210704,-0.2066791,,
-0.7857036,0.50087655,,
0.2073285,-0.018533826,,
-0.5380082,-0.8888725,,
-0.7073851,0.050580263,,
0.09155689,-0.65055513,,
0.4882444,-0.85285854,,
0.05994688,0.83495,,
-0.7072801,-0.64759517,,
-0.40286505,0.5316248,,
-0.45686364,0.16214767,,
-0.6366564,0.08325333,,
0.8145862,-0.0102472305,,
-0.15149555,-0.8025707,,
-1.0,-0.7882407,,
0.9929439,0.3420704,,
-0.53725034,-0.45909837,,
-0.99344087,0.5170208,,
-0.36618197,0.20480661,,
-0.18712375,-0.9734011,,
0.7365718,-0.079384655,,
-0.72608054,0.14264393,,
0.048148926,-0.18487307,,
-0.580472,-0.62116206,,
0.0772951,-0.68679124,,
1.0,-0.35331315,,
0.113947675,-0.02538836,,
0.7149819,-0.028862283,,
0.68256676,0.8978699,,
0.47142473,-0.67240953,,
0.6253792,-0.89239043,,
0.5804331,0.47175708,,
-0.42280197,-0.4560075,,
-0.06934154,0.33438027,,
0.009024739,-0.5757486,,
-1.0,0.13090181,,
0.2583703,-0.21492521,,
0.09140865,-0.59831464,,
0.50676143,-0.51673377,,
-0.33096614,0.34997523,,
-0.9662894,0.51741296,,
-0.037927866,0.71126723,,
-0.17682683,-0.7977831,,
-0.5323953,0.36876002,,
-0.9605407,0.32547688,,
-0.423463,-0.8549511,,
-0.8895533,-0.69945085,,
-0.5189767,-0.3480466,,
0.466046,0.9547173,,
-0.99630374,-0.12114445,,
-0.24442685,-0.51689667,,
0.19561309,-0.845543,,
-0.46394908,0.39782357,,
-0.3288037,-0.58219004,,
-0.9305718,0.5354532,,
0.2445643,0.14514995,,
-0.98242915,1.0,,
-0.1325762,-0.6633564,,
0.11161587,0.43220827,,
1.0,-0.7784091,,
0.31315613,-0.2712201,,
0.72034746,0.6480191,,
-1.0,-0.77853376,,
-0.80296564,0.76412785,,
-1.0,-0.055716485,,
-0.55415344,0.39512312,,
-0.9146475,-0.90244776,,
0.13225038,-0.5932016,,
0.36034352,-0.31704432,,
-0.90329695,-0.44204593,,
-0.5383136,-0.29614925,,
0.3709678,0.25305176,,
-0.3144123,-0.72748613,,
-0.5344059,-0.17469075,,
0.23203766,-0.88028634,,
-0.04713738,0.7205286,,
0.14952073,1.0,,
0.35438523,1.0,,
0.40240577,-0.8827584,,
0.5425403,-0.022552133,,
-0.29624254,0.09803349,,
1.0,-0.57041305,,
0.7285021,0.7219205,,
0.92903256,0.3760658,,
-0.28883886,-0.95122874,,
-0.7325931,0.16519928,,
-1.0,0.42464793,,
0.21678054,0.3546276,,
-0.9916673,0.53381056,,
-0.11647177,0.28436524,,
0.8741583,-1.0,,
-0.26814997,-0.67280924,,
0.5287424,-0.44416964,,
0.106491536,-0.3465583,,
0.7051657,0.10378054,,
0.44370237,-0.64023924,,
-0.4189325,-1.0,,
-0.68853354,0.08695766,,
0.31874558,0.72098064,,
-0.117527306,0.5733781,,
1.0,-0.10210712,,
-0.4160924,-0.6777872,,
0.68048835,-0.8833059,,
0.90864086,0.34414956,,
0.61132455,0.73311716,,
-0.36097533,-0.0326595,,
-0.061345458,-0.87852466,,
0.7593477,0.52037823,,
0.95599365,0.06986749,,
0.17744172,-0.693725,,
-0.23385727,0.32354623,,
-0.5155875,-0.64575756,,
0.6714878,0.26059064,,
-0.78695226,-0.013571471,,
0.9808926,0.21372071,,
0.0151435435,-0.66321623,,
-0.12515348,0.56991684,,
-0.93790185,-0.2570935,,
0.9170665,-0.41485098,,
-0.27825183,0.75228536,,
-0.6675164,0.4832986,,
-0.018702745,0.1696037,,
-0.07094526,-0.18140209,,
0.56070787,-0.01705184,,
1.0,-0.36850584,,
-0.013205349,-0.6661849,,
0.5448077,-0.548947,,
0.2813906,-0.8348186,,
-0.9403666,-0.047796585,,
-0.044938974,0.5883337,,
0.88938034,-0.76831007,,
-0.24662003,0.52945006,,
0.49211487,0.6158343,,
0.42628145,0.27521357,,
-0.93631655,0.6114198,,
-0.32188523,0.68461347,,
1.0,0.16995975,,
-0.639513,-0.6201763,,
0.33249706,-0.9667911,,
-0.24847507,-0.060266085,,
0.4123839,-0.90281236,,
0.9374553,-0.93328655,,
-1.0,-0.34195924,,
0.43133092,-1.0,,
0.66085243,0.92481387,,
0.073854804,0.7274477,,
0.29303718,1.0,,
-0.9191343,-0.392501,,
-0.3457603,-0.6209345,,
-0.783036,-0.45283288,,
-0.42945236,-0.93113744,,
-0.9807157,0.892832,,
-0.57543314,0.62796813,,
0.6507966,0.35204557,,
0.03298615,-1.0,,
0.4462391,1.0,,
-0.7660465,-0.36883372,,
-0.31453893,0.5147987,,
-0.61080885,-0.15480709,,
-0.15466677,-0.13535754,,
-0.08623719,-0.997518,,
0.7992964,-0.25433654,,
-0.38747084,0.2350423,,
0.5779272,-0.005966559,,
-0.24310139,-0.19787431,,
0.31751302,0.27497667,,
-0.6761201,1.0,,
0.9430586,-0.12816134,,
-0.13540804,0.61434025,,
-0.92439103,0.22320075,,
-0.8596215,-0.19425821,,
0.98119205,-0.43004176,,
0.5983474,0.1755116,,
0.22458114,0.50062084,,
-0.51131445,-0.90923446,,
-0.5346382,0.01042451,,
-0.5045118,-0.70647395,,
0.5202893,0.03778872,,
-0.018684551,-0.05124691,,
0.4281393,1.0,,
0.0055618826,,,
-0.23977709,,,
0.50186175,,,
-0.60095465,,,
-0.38896626,,,
-0.44020385,,,
0.06276238,,,
-0.12323688,,,
0.041273028,,,
0.70119226,,,
