L0,L1,L2,Graph
0.07261562,0.902,-0.7397732,3
0.76855,0.72397274,-0.45724443,3
0.61649156,0.43813157,0.2626656,5
-0.0055439025,-0.38034856,-0.15518767,6
0.803185,-0.08181465,-0.21964729,6
0.4268365,-0.8345558,-0.34918082,6
1.0,-0.5001283,0.28472793,6
0.41339254,-0.8399663,-0.3054917,6
0.48158944,0.31202897,-0.44578093,6
0.18241593,-0.1916899,0.09017348,6
-0.9266076,-0.042874217,0.50621414,8
-0.07007778,0.71817505,0.8711108,8
0.45667163,0.0841316,-0.5421779,8
-0.0013425648,0.6453391,1.0,10
-0.809077,-0.36108065,0.36900306,12
0.37544376,-0.6164403,0.71452016,19
0.11135486,-0.6745739,-0.46448797,23
-0.3667698,0.24086094,0.7639636,26
0.28463027,0.3867243,0.6716374,26
0.1904896,0.88314974,0.091253735,26
-0.34050906,-0.6401261,-0.63710386,
-0.06651844,0.88589716,0.21680436,
-0.46397215,0.58404076,-0.8852747,
-0.91334385,-0.5925381,-0.7197671,
-0.38061637,0.12602432,-0.20139655,
-0.0019931793,-0.5042323,0.9613292,
0.044787616,-0.87294424,0.36898965,
0.38606623,-0.3417753,-0.4246423,
-0.8669051,0.63478494,0.23893589,
0.72071683,-0.52214277,-0.82971525,
0.9099405,0.12855676,-0.31977546,
0.35429955,-0.62475467,0.97798073,
0.58205855,-0.02789712,0.25757858,
0.46560192,-0.12985109,0.70521307,
-0.47001553,-1.0,-0.23340377,
-0.7790295,-0.5159577,-0.35124522,
0.21952558,-0.10481298,0.67900467,
-0.003952384,-0.3569083,-0.49214315,
0.057902813,-1.0,-0.7262448,
0.05914381,-0.6426268,0.8658159,
-0.4065554,0.02405119,0.83697176,
-0.13255292,-0.5161006,0.8375824,
0.80023384,-0.35937965,0.7301713,
1.0,-0.58740765,0.55674005,
0.44719696,-0.6672623,0.8914051,
-0.9094058,0.09125091,0.5175563,
-0.195243,0.7829921,0.7715857,
-0.95912796,0.112746835,-0.32321787,
0.49486494,-0.3737924,0.47818527,
0.10507153,-0.6037688,0.21223468,
0.18645442,-0.83142257,0.84809506,
-0.63859534,0.9105105,0.05205846,
0.48114347,-0.5373184,0.9537851,
0.09630884,0.15638724,0.57271826,
0.5490168,0.09302083,0.04740441,
-0.8204933,-0.012542509,-0.4683178,
-0.16102937,0.14398144,0.095243454,
0.015964493,0.23688166,-0.49394783,
-0.33214104,0.058485113,1.0,
-0.3828869,0.7507214,0.051777273,
-0.0337739,0.022176504,1.0,
-0.38352847,-0.94440496,0.90184,
-0.13982733,0.27422893,0.65662557,
0.35509405,0.9033239,0.1201976,
-0.2956493,0.6936586,0.82319045,
0.15864235,0.35256052,0.84762967,
0.2048764,-0.9297998,0.023261286,
-1.0,0.58887434,-0.90891635,
-0.041839737,-1.0,,
0.89412963,0.66076136,,
-0.032557905,0.7960963,,
-0.21722221,0.7979158,,
-0.3387251,0.17654243,,
0.6063217,0.35245076,,
0.6339302,-0.1504687,,
-1.0,-0.8039547,,
0.71477515,-0.28351873,,
1.0,-0.5064808,,
0.2832384,-0.30068743,,
-0.34503824,-0.13792573,,
-0.58185637,0.12320411,,
-0.6451263,0.4611585,,
-0.8782401,0.6981679,,
-0.8564658,-0.3646421,,
0.7103211,0.49156106,,
0.586513,0.96918666,,
0.9747203,0.62436306,,
-0.64301777,0.24845874,,
-0.34187263,0.24925792,,
-0.27742445,-0.78659844,,
-0.1113265,0.6838886,,
0.012555957,-0.21666336,,
0.52475643,-0.59450525,,
-0.7857036,0.50087655,,
0.048743166,0.028772615,,
-0.78037584,-0.8888725,,
-0.7274772,0.050580263,,
0.09155689,-0.56681347,,
0.4882444,-0.6999068,,
-0.030163765,0.83495,,
-0.72137547,-0.64759517,,
-0.40286505,0.3712964,,
-0.64699996,0.101091504,,
-0.6366564,0.14008772,,
1.0,-0.0102472305,,
-0.15149555,-0.8025707,,
-0.64652026,-0.7882407,,
1.0,0.3420704,,
-0.53725034,-0.2352351,,
-0.99344087,0.5522822,,
-0.36618197,0.42316794,,
-0.58243465,-0.45505843,,
0.55150247,-0.079384655,,
-0.8363633,-0.32766062,,
