L0,L1,L2,Graph
0.07261562,0.8580389,-0.780757,3
0.89138234,0.4392159,-0.45724443,3
0.7017615,0.61599886,0.2626656,5
-0.0760026,-0.38034856,-0.2390642,6
0.803185,-0.08181465,-0.21964729,6
0.4268365,-0.6733012,-0.15567489,6
1.0,-0.29166386,0.28472793,6
0.6068783,-0.8399663,-0.37617955,6
0.48158944,0.079680726,-0.44578093,6
0.18241593,0.09635937,0.4665394,6
-0.9266076,0.106386915,0.6352005,8
-0.07007778,0.71817505,0.8711108,8
0.40980554,-0.20212442,-0.74416476,8
-0.0013425648,0.69564354,1.0,10
-0.809077,-0.36108065,0.5958401,12
0.26846054,-0.6164403,0.71452016,19
0.11135486,-0.724803,-0.46448797,23
-0.3667698,0.51894385,0.7639636,26
0.43097192,0.3867243,0.6716374,26
0.3843621,0.55879784,0.091253735,26
-0.34050906,-0.6401261,-0.5599084,26
-0.06651844,0.8394887,0.17407532,
-0.34979033,0.58404076,-0.8852747,
-0.83701634,-1.0,-0.7197671,
-0.7123755,0.13860905,0.39042428,
-0.0019931793,-0.51359224,0.99158,
-0.040180884,-0.6303268,0.18600082,
0.5505552,-0.3417753,-0.48496258,
-1.0,0.8574687,0.23893589,
0.5428252,-0.77088475,-0.6447274,
1.0,0.08047959,-0.31977546,
0.002977088,-0.62475467,0.97798073,
0.58205855,-0.02789712,0.25757858,
0.46560192,0.10728297,0.70521307,
-0.6350794,-1.0,-0.3159713,
-0.55937016,-0.5159577,-0.18377541,
0.21952558,-0.42234764,0.67900467,
-0.003952384,-0.3569083,-0.28142065,
0.11125291,-1.0,-0.98746675,
0.29395032,-0.68297446,0.8658159,
-0.4065554,0.02405119,0.83697176,
0.04290773,-0.7709191,0.6541708,
0.91950345,-0.35937965,0.7301713,
1.0,-0.58740765,0.55674005,
0.27057332,-0.8891041,0.8914051,
-0.9094058,0.09125091,0.4315421,
-0.195243,0.85171145,0.7715857,
-0.95912796,0.112746835,-0.29081115,
0.3907388,-0.3737924,0.7130822,
-0.12880425,-0.6037688,0.21223468,
0.04368505,-0.5416449,0.84809506,
-0.42042828,0.9105105,0.05205846,
0.48114347,-0.48379326,0.9537851,
0.09612471,0.19965176,0.57271826,
0.5490168,0.09302083,0.18473938,
-1.0,-0.11627618,-0.4683178,
-0.16102937,0.14398144,-0.08173482,
0.015964493,0.23688166,-0.7346504,
-0.41176748,-0.029384494,1.0,
-0.3828869,0.64816844,0.051777273,
-0.0337739,0.022176504,1.0,
-0.6059091,-0.94440496,0.51975673,
-0.13982733,0.44068307,0.65662557,
0.35509405,0.84656304,0.13607353,
-0.2956493,0.6936586,0.82319045,
0.054533243,0.57705957,0.46151733,
0.6707791,-0.9297998,0.023261286,
-0.9300426,0.6334265,-0.5762943,
-0.041839737,-1.0,,
0.81616867,0.66076136,,
-0.0049126092,0.7960963,,
-0.21722221,0.8180988,,
-0.3387251,0.17654243,,
0.3355347,0.19082105,,
0.6339302,-0.1504687,,
-1.0,-0.8039547,,
0.69564956,-0.2196847,,
0.95987767,-0.5064808,,
0.35466468,-0.67956567,,
-0.07910875,-0.13792573,,
-0.58185637,0.41657865,,
-0.6573976,0.40912998,,
-0.8782401,0.6082034,,
-0.8564658,-0.1593224,,
0.7103211,-0.13618279,,
0.5380405,0.8806166,,
0.8173701,0.692268,,
-0.64301777,-0.121747866,,
-0.34187263,0.24925792,,
-0.27742445,-0.7811465,,
-0.1113265,0.39940906,,
0.05665166,-0.5035597,,
0.38892546,-0.5974147,,
-0.7857036,0.50087655,,
-0.055670857,-0.018533826,,
-0.7446894,-0.8888725,,
-0.7274772,-0.2951499,,
0.09155689,-0.58469164,,
0.4882444,-0.62778425,,
-0.030163765,0.7649456,,
-0.72137547,-0.64759517,,
-0.40286505,0.3712964,,
-0.5147475,0.17848253,,
-0.6366564,0.258673,,
1.0,-0.24309155,,
-0.15149555,-0.8025707,,
-0.64652026,-0.36428,,
0.81443834,0.74701154,,
-0.32632384,0.15618508,,
-0.99344087,0.5170208,,
-0.36618197,0.16099763,,
-0.16891482,-0.13713628,,
0.9584869,-0.32143617,,
-0.74891424,0.12203479,,
0.10695817,0.11089373,,
-0.7754303,-0.028611422,,
0.040877044,-0.6298348,,
0.7375673,-0.76472485,,
0.27495837,0.07641146,,
0.7149819,-0.12791514,,
0.9444753,1.0,,
0.29125673,-0.68014914,,
0.73870003,-0.9530612,,
0.7070226,0.9187192,,
-0.50144136,0.20474781,,
-0.06934154,0.24681409,,
0.009024739,-0.56128323,,
-1.0,0.2644293,,
0.058536425,-0.34059647,,
0.09140865,-0.2986508,,
0.7562878,-0.7557499,,
-0.5386573,-0.11370766,,
-1.0,0.48892212,,
-0.36394516,-0.15389834,,
-0.17682683,-1.0,,
-0.709694,0.23563111,,
-1.0,0.6265344,,
-0.423463,-0.68386227,,
-0.8895533,-0.8072277,,
-1.0,-0.22840738,,
0.37149316,0.59719634,,
-0.88219947,-0.08816469,,
-0.3793551,-0.9111072,,
0.26856288,-0.8374142,,
-0.7031492,0.9569136,,
-1.0,-0.8537357,,
-0.54265326,0.35633823,,
0.2445643,-0.26648474,,
-0.6914693,0.9452214,,
0.1264351,-0.6633564,,
0.15332007,0.3038895,,
0.91797316,-0.7784091,,
0.31315613,-0.26165333,,
0.21602505,0.39642704,,
-1.0,-0.77853376,,
-0.82856596,0.76412785,,
-0.81909263,-0.099681675,,
-0.32267958,0.39512312,,
-0.9326797,-1.0,,
0.36257792,-0.5889114,,
0.39377788,-0.549082,,
-0.9113047,-0.44204593,,
-0.68566346,-0.29614925,,
0.43697163,0.40229768,,
-0.50774264,-0.83382416,,
-0.33616623,0.23201126,,
0.5364156,-0.88028634,,
-0.04713738,0.83969605,,
-0.10347985,1.0,,
0.35438523,0.73916113,,
0.99536365,-0.73555136,,
0.5425403,-0.42915833,,
0.3437229,-0.09007539,,
1.0,-0.58214194,,
0.7285021,0.8066709,,
0.92903256,0.2248174,,
0.04289642,-0.95122874,,
-0.7325931,0.028262854,,
-0.6609998,0.42464793,,
0.38962963,0.3546276,,
-1.0,0.4930497,,
-0.11647177,0.025196433,,
0.8331616,-0.81173575,,
-0.117742404,-0.8389291,,
0.7471119,-0.4669545,,
0.106491536,-0.3465583,,
0.84574366,0.29495877,,
0.44370237,-0.64023924,,
-0.27530858,-0.8699089,,
-0.030251443,-0.28386602,,
0.43841022,0.72098064,,
-0.117527306,0.66629064,,
0.46507233,-0.19181047,,
-0.6256798,-1.0,,
0.46125114,-0.8833059,,
0.7248517,-0.0048309267,,
0.61132455,0.73311716,,
-0.027823955,-0.0326595,,
-0.061345458,-0.87852466,,
0.7593477,0.52037823,,
0.657817,0.06986749,,
-0.049436197,-0.693725,,
-0.23385727,0.32354623,,
-0.39095318,-0.64575756,,
0.6714878,0.10276586,,
-0.78695226,0.140553,,
0.9808926,0.29784027,,
-0.05045712,-0.66321623,,
-0.12515348,0.3957555,,
-0.9760295,-0.6205571,,
0.43441248,-0.13667679,,
-0.27825183,0.4933081,,
-0.29376972,0.27267575,,
-0.018702745,0.1696037,,
-0.07094526,-0.18140209,,
0.47309583,0.0043735206,,
1.0,-0.36850584,,
0.014616638,-0.83248854,,
0.9919952,-0.548947,,
-0.19306946,-0.8348186,,
-0.83405,0.39276767,,
0.034844093,0.4719349,,
0.88938034,-1.0,,
-0.24662003,0.52945006,,
0.6936091,0.6158343,,
0.42628145,0.76812994,,
-0.590485,0.5209809,,
-0.20941179,0.74345505,,
0.91770375,0.45110148,,
-0.8735514,-0.8949958,,
0.5744022,-0.97240543,,
-0.2622056,-0.060266085,,
0.4123839,-0.90281236,,
0.9374553,-1.0,,
-1.0,-0.34195924,,
0.41343555,-0.84444076,,
0.66085243,1.0,,
0.073854804,0.57053685,,
0.29303718,1.0,,
-0.03452325,-0.23903227,,
-0.3457603,-0.5133818,,
-0.783036,-0.3857841,,
-0.29291463,-0.93113744,,
-0.7468295,0.84879225,,
-0.14197424,1.0,,
1.0,0.35204557,,
0.20740473,-0.7360574,,
0.75095576,1.0,,
-0.5760052,-0.36883372,,
-0.0692589,0.5147987,,
-0.9891584,-0.11455524,,
-0.09749097,-0.13535754,,
0.16165559,-0.92044455,,
0.8244915,-0.20824564,,
-0.2570557,-0.095792025,,
-0.07434428,0.27596936,,
-0.16355851,-0.20081009,,
0.07483256,0.31613922,,
-0.57826746,0.7581035,,
0.9430586,-0.24204278,,
-0.13540804,0.67889136,,
-1.0,0.2012515,,
-0.8596215,-0.21281756,,
0.7998966,-0.43004176,,
0.5983474,0.23265389,,
0.0021178424,0.50062084,,
-0.62031823,-0.84109557,,
-1.0,-0.10102761,,
-0.08993554,-0.70647395,,
0.6891699,0.1941719,,
-0.1492604,-0.43852884,,
-0.27483216,1.0,,
0.0055618826,,,
-0.23977709,,,
0.47865042,,,
-0.819388,,,
-0.37399766,,,
-0.7187655,,,
-0.25997436,,,
-0.082963675,,,
0.3151617,,,
0.94317234,,,
0.7373601,,,
0.29012668,,,
-0.48635817,,,
-0.10970557,,,
0.74290246,,,
-1.0,,,
-0.7182167,,,
0.91036373,,,
-0.985483,,,
0.88845164,,,
0.59087586,,,
0.5124335,,,
-0.11399655,,,
0.31520355,,,
0.58786976,,,
0.32943076,,,
0.015699953,,,
-0.38040048,,,
-0.7281886,,,
-0.33052373,,,
-0.31597054,,,
0.787907,,,
0.8252796,,,
-0.047423422,,,
0.8584564,,,
-0.25071004,,,
0.42681885,,,
-0.28608644,,,
0.9526873,,,
-0.65402305,,,
0.7955779,,,
-0.18709719,,,
-0.73040426,,,
-0.5258603,,,
-0.6522455,,,
-0.0931046,,,
-0.82251036,,,
-0.89987606,,,
-0.8963277,,,
0.46644408,,,
-0.72245705,,,
0.644001,,,
0.8276916,,,
-0.39090037,,,
-0.58216655,,,
0.8862782,,,
0.872447,,,
0.91767275,,,
0.39052242,,,
0.9987011,,,
0.058464326,,,
-0.58376455,,,
-0.44472826,,,
0.9344804,,,
-0.9282158,,,
0.8220262,,,
-0.7372961,,,
-0.05622843,,,
-0.50794023,,,
0.41099593,,,
0.1593001,,,
-0.0946388,,,
-0.8138267,,,
0.47235784,,,
0.765866,,,
-0.8648523,,,
0.20851564,,,
0.74435294,,,
0.33792418,,,
0.37504476,,,
0.91596663,,,
0.41076,,,
0.088394284,,,
-0.34703428,,,
-0.5265025,,,
-0.7719826,,,
0.5144381,,,
-0.3458293,,,
-0.9571459,,,
-0.52048016,,,
0.002516985,,,
-0.4125089,,,
-0.049370535,,,
-0.27532527,,,
-0.2845684,,,
-0.03498137,,,
-0.8590076,,,
0.4958303,,,
-0.3210306,,,
-0.7037232,,,
0.0136166215,,,
0.9491052,,,
0.058735996,,,
-0.6733463,,,
0.6033343,,,
0.31635225,,,
-0.2258226,,,
0.48086563,,,
-0.015181281,,,
-0.654981,,,
0.8432795,,,
0.8859493,,,
0.8507768,,,
0.6070192,,,
0.3109225,,,
-0.75020534,,,
-0.18162072,,,
-0.144562,,,
-0.678063,,,
1.0,,,
0.4604814,,,
0.86409074,,,
-0.45181632,,,
-0.10019823,,,
0.5648974,,,
0.029002666,,,
0.6393957,,,
-0.56604505,,,
