L0,L1,L2,Graph
-0.08077754,0.8580389,-0.923952,3
0.89138234,0.4392159,0.02251023,3
0.7192326,0.43813157,0.25245273,5
-0.0760026,-0.20701909,0.20682907,6
0.803185,-0.08181465,-0.39022356,6
0.41820526,-1.0,-0.76248825,6
0.9294998,-0.5222844,0.3518979,6
0.6068783,-0.9173897,-0.5446751,6
0.48158944,0.8451866,-0.44578093,6
0.3515808,-0.106981635,0.7320656,6
-0.5713508,0.056000218,0.6352005,8
0.41516727,1.0,1.0,8
0.40980554,0.38237405,-0.5421779,8
0.39459136,0.8579631,0.9233656,
-0.809077,-0.6925071,0.61414814,
0.29368508,-0.6164403,0.2584811,
0.11135486,-0.6745739,-0.46448797,
-0.23780407,0.36767426,0.83628666,
0.43225545,0.73847926,0.4723934,
0.3843621,1.0,-0.15975651,
-0.34050906,-0.7736391,-0.42620575,
-0.06651844,0.8327848,0.35226,
-0.16130477,0.58404076,-0.8852747,
-0.8954154,-0.67247987,-0.7197671,
-0.7123755,0.13860905,0.046659112,
-0.14975478,-0.3392598,0.9613292,
0.05919093,-0.87294424,0.18600082,
0.7208524,-0.3253224,-0.780478,
-0.7321197,0.8574687,-0.022290945,
0.43580282,-0.52214277,-0.82971525,
0.9373424,0.12855676,-0.29194105,
-0.3054224,-0.8418653,1.0,
0.40708232,-0.26313514,0.25757858,
0.22003317,0.27502215,0.70521307,
-0.47001553,-1.0,-0.026976347,
-0.69464236,-0.32988203,-0.29501653,
0.37152487,-0.10481298,0.48213804,
-0.08065735,-0.3569083,0.09774673,
0.03701549,-1.0,-0.7262448,
0.29395032,-0.6090737,0.8658159,
-0.4065554,0.02405119,0.7363554,
-0.44758967,-0.95652854,0.9763912,
0.80023384,-0.43991482,0.9942826,
1.0,-0.33682466,0.41564265,
0.7755687,-0.6672623,0.8914051,
-0.81732327,0.09125091,0.48577636,
-0.3382246,0.849397,1.0,
-0.8304217,0.112746835,-0.27758238,
0.4075777,-0.3737924,0.7130822,
0.07527161,-0.6037688,0.13651708,
0.23099196,-0.918358,0.84809506,
-0.015171528,1.0,0.36394897,
0.48114347,-0.48379326,0.83885336,
-0.03535843,-0.029914312,0.3617644,
0.4115513,0.3533301,0.04740441,
-1.0,0.048106633,-0.3996153,
-0.08815956,0.2376517,0.57929695,
-0.013332963,0.5070293,-0.7346504,
-0.39363575,-0.029384494,0.8959954,
-0.3828869,0.6623711,-0.066211015,
-0.04491713,0.25617304,1.0,
-0.47264615,-0.94440496,0.90184,
-0.50648934,0.27422893,0.5752773,
0.2753086,0.7385001,0.11447321,
-0.2956493,0.6936586,0.8864295,
-0.106030524,0.15537682,0.46151733,
0.5135727,-0.9297998,0.023261286,
-0.92541146,0.35074458,-0.5138656,
0.005505681,-0.71095777,,
1.0,0.66076136,,
-0.28383768,0.7960963,,
-0.21722221,1.0,,
-0.3387251,0.17353141,,
0.3355347,0.19082105,,
0.7289379,-0.1504687,,
-0.9597111,-0.8039547,,
0.50351423,-0.35005197,,
0.820744,-0.3085988,,
0.4284328,-0.30411237,,
-0.18458438,0.011090755,,
-0.58185637,-0.1522981,,
-0.71233404,0.4611585,,
-0.8782401,0.22379827,,
-0.8306373,-0.3475558,,
0.749462,0.15910184,,
0.5380405,0.96918666,,
0.9712596,0.62436306,,
-0.64301777,0.117948145,,
-0.46793452,0.24925792,,
-0.13291341,-0.53017837,,
-0.23800373,0.41667894,,
0.012555957,-0.31254995,,
0.52475643,-0.44353175,,
-0.65750146,0.50087655,,
-0.055670857,-0.018533826,,
-0.85028136,-0.8888725,,
-1.0,0.050580263,,
0.09611714,-0.56681347,,
0.37259185,-0.85285854,,
0.089587614,1.0,,
-0.83401966,-0.9424854,,
-0.40286505,0.13999507,,
-0.5147475,0.08098453,,
-0.33501565,0.15814924,,
1.0,-0.0102472305,,
-0.0548079,-0.52556664,,
-1.0,-0.72738713,,
1.0,0.73375696,,
-0.36371437,-0.28267318,,
-0.99344087,0.5170208,,
-0.36618197,0.16099763,,
-0.03691767,-0.62811774,,
-0.2552967,-0.32143617,,
-0.72608054,0.12203479,,
